Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
21000.0,-0.0408040613299656,5.660595473983494,2.6961016206216147e+17,7000.0,1683.59375,1833.59375,1983.59375
21100.0,-0.0409997598188992,5.660566774151621,2.7348940067081414e+17,7000.0,1683.515625,1833.515625,1983.515625
21200.0,-0.041195458328666,5.6605379373307905,2.7740567237366733e+17,7000.0,1683.4375,1833.4375,1983.4375
21300.0,-0.0413911568589725,5.660508963520989,2.8135915309990963e+17,7000.0,1683.359375,1833.359375,1983.359375
21400.0,-0.0415868554095308,5.660479852722203,2.8535001877872966e+17,7000.0,1683.28125,1833.28125,1983.28125
21500.0,-0.0417825539800583,5.660450604934415,2.8937844533931603e+17,7000.0,1683.203125,1833.203125,1983.203125
21600.0,-0.0419782525702776,5.660421220157617,2.934446087108573e+17,7000.0,1683.125,1833.125,1983.125
21700.0,-0.0421739511799165,5.66039169839179,2.975486848225421e+17,7000.0,1683.046875,1833.046875,1983.046875
21800.0,-0.0423696498087078,5.660362039636925,3.01690849603559e+17,7000.0,1682.96875,1832.96875,1982.96875
21900.0,-0.0425653484563891,5.660332243893006,3.0587127898309664e+17,7000.0,1682.890625,1832.890625,1982.890625
22000.0,-0.0427610471227028,5.66030231116002,3.100901488903436e+17,7000.0,1682.8125,1832.8125,1982.8125
22100.0,-0.042956745807396,5.660272241437955,3.143476352544885e+17,7000.0,1682.734375,1832.734375,1982.734375
22200.0,-0.0431524445102204,5.660242034726798,3.1864391400471994e+17,7000.0,1682.65625,1832.65625,1982.65625
22300.0,-0.0433481432309319,5.660211691026536,3.229791610702265e+17,7000.0,1682.578125,1832.578125,1982.578125
22400.0,-0.043543841969291,5.660181210337157,3.2735355238019674e+17,7000.0,1682.5,1832.5,1982.5
22500.0,-0.0437395407250625,5.660150592658649,3.317672638638193e+17,7000.0,1682.421875,1832.421875,1982.421875
22600.0,-0.0439352394980151,5.660119837991001,3.362204714502829e+17,7000.0,1682.34375,1832.34375,1982.34375
22700.0,-0.0441309382879219,5.6600889463342,3.4071335106877594e+17,7000.0,1682.265625,1832.265625,1982.265625
